order_id,product_id,product_category,seller_id,price,freight_value
order_000000,prod_00385,computers_accessories,seller_0277,46.2,9.65
order_000001,prod_00543,sports_leisure,seller_0379,317.88,55.44
order_000002,prod_00229,fashion_bags_accessories,seller_0307,86.45,7.0
order_000003,prod_01120,watches_gifts,seller_0013,16.51,7.0
order_000004,prod_00446,auto,seller_0199,163.36,13.33
order_000004,prod_00640,watches_gifts,seller_0054,65.92,8.79
order_000005,prod_01183,office_furniture,seller_0177,127.27,26.71
order_000006,prod_00330,telephony,seller_0093,180.99,39.99
order_000007,prod_00836,toys,seller_0144,47.0,11.27
order_000008,prod_00776,baby,seller_0282,59.66,7.0
order_000009,prod_00364,bed_bath_table,seller_0090,172.6,18.92
order_000010,prod_00315,bed_bath_table,seller_0023,184.81,17.01
order_000010,prod_00947,furniture_decor,seller_0014,294.97,62.63
order_000011,prod_00728,office_furniture,seller_0309,69.32,9.63
order_000012,prod_01023,toys,seller_0102,57.54,7.0
order_000013,prod_00586,sports_leisure,seller_0370,417.21,50.79
order_000014,prod_00666,perfumery,seller_0226,142.02,17.43
order_000015,prod_01034,auto,seller_0073,237.92,48.35
order_000016,prod_00655,bed_bath_table,seller_0319,142.7,33.75
order_000016,prod_00596,bed_bath_table,seller_0263,174.29,39.14
order_000017,prod_00275,watches_gifts,seller_0283,33.35,7.0
order_000018,prod_00963,sports_leisure,seller_0260,181.2,14.44
order_000018,prod_00716,toys,seller_0134,51.07,8.59
order_000019,prod_00903,furniture_decor,seller_0211,95.77,12.94
order_000020,prod_01157,telephony,seller_0210,329.59,71.47
order_000020,prod_00640,watches_gifts,seller_0359,66.2,15.76
order_000021,prod_00872,telephony,seller_0172,221.29,47.56
order_000022,prod_00553,sports_leisure,seller_0086,174.54,13.1
order_000023,prod_01138,computers_accessories,seller_0356,105.89,12.13
order_000024,prod_00681,health_beauty,seller_0395,335.76,20.16
order_000025,prod_00224,sports_leisure,seller_0320,238.0,20.54
order_000026,prod_00832,bed_bath_table,seller_0093,188.3,19.86
order_000027,prod_01113,furniture_decor,seller_0063,282.35,36.25
order_000028,prod_00643,computers_accessories,seller_0039,57.67,7.0
order_000029,prod_00744,cool_stuff,seller_0380,400.34,30.87
order_000029,prod_00474,health_beauty,seller_0223,197.9,36.96
order_000030,prod_00739,bed_bath_table,seller_0311,199.39,25.58
order_000031,prod_00160,housewares,seller_0397,72.34,7.0
order_000032,prod_00448,auto,seller_0139,285.76,49.62
order_000033,prod_00482,health_beauty,seller_0251,317.26,18.97
order_000034,prod_00834,computers_accessories,seller_0335,99.53,21.82
order_000035,prod_01128,construction_tools,seller_0294,75.9,16.3
order_000036,prod_00308,toys,seller_0182,54.83,7.0
order_000037,prod_00950,watches_gifts,seller_0259,42.28,7.0
order_000038,prod_00595,health_beauty,seller_0127,416.86,81.14
order_000039,prod_01056,pet_shop,seller_0203,115.75,19.21
order_000039,prod_01117,toys,seller_0298,51.02,7.0
order_000040,prod_00704,bed_bath_table,seller_0293,172.06,39.22
order_000041,prod_00038,garden_tools,seller_0071,187.63,14.91
order_000042,prod_00434,health_beauty,seller_0206,494.02,51.83
order_000043,prod_00299,furniture_decor,seller_0083,347.14,25.22
order_000043,prod_01029,health_beauty,seller_0218,202.03,18.22
order_000044,prod_00528,toys,seller_0148,38.03,9.27
order_000045,prod_01171,bed_bath_table,seller_0351,106.16,16.24
order_000046,prod_00442,housewares,seller_0153,126.8,31.13
order_000046,prod_00644,electronics,seller_0035,53.69,8.18
order_000047,prod_00882,health_beauty,seller_0195,474.27,39.65
order_000047,prod_00555,sports_leisure,seller_0194,214.64,48.84
order_000048,prod_00678,health_beauty,seller_0333,267.18,36.95
order_000049,prod_00967,fashion_bags_accessories,seller_0168,87.41,7.0
order_000050,prod_00281,health_beauty,seller_0357,166.96,35.85
order_000051,prod_00044,furniture_decor,seller_0221,273.87,28.8
order_000052,prod_00401,baby,seller_0136,46.72,7.0
order_000053,prod_00794,auto,seller_0055,353.75,32.6
order_000054,prod_00421,bed_bath_table,seller_0387,299.68,31.17
order_000055,prod_00195,housewares,seller_0196,44.48,7.0
order_000056,prod_00539,furniture_decor,seller_0015,201.04,43.28
order_000057,prod_01058,health_beauty,seller_0164,486.73,28.34
order_000058,prod_00125,garden_tools,seller_0033,360.52,47.34
order_000059,prod_00807,sports_leisure,seller_0337,344.88,30.68
order_000060,prod_00424,sports_leisure,seller_0106,89.4,21.46
order_000061,prod_00521,health_beauty,seller_0253,550.86,79.69
order_000062,prod_00467,sports_leisure,seller_0310,429.96,88.2
order_000063,prod_00533,computers_accessories,seller_0195,128.87,15.48
order_000063,prod_00101,bed_bath_table,seller_0099,69.51,7.0
order_000063,prod_01030,computers_accessories,seller_0376,63.57,9.17
order_000064,prod_00682,sports_leisure,seller_0196,287.78,17.82
order_000065,prod_00685,health_beauty,seller_0218,279.09,20.06
order_000066,prod_01142,baby,seller_0113,80.24,18.69
order_000067,prod_00504,auto,seller_0120,248.82,46.9
order_000068,prod_00909,perfumery,seller_0208,203.85,19.7
order_000068,prod_00715,watches_gifts,seller_0396,60.19,11.89
order_000069,prod_00770,housewares,seller_0155,164.13,36.36
order_000070,prod_00443,watches_gifts,seller_0004,58.5,10.73
order_000071,prod_00535,housewares,seller_0222,144.52,19.03
order_000072,prod_00197,sports_leisure,seller_0213,265.1,27.17
order_000073,prod_00711,furniture_decor,seller_0358,246.44,50.79
order_000074,prod_00319,cool_stuff,seller_0216,590.62,79.32
order_000074,prod_00877,telephony,seller_0178,165.04,36.71
order_000075,prod_00874,bed_bath_table,seller_0106,222.03,38.55
order_000076,prod_00504,auto,seller_0366,245.54,19.9
order_000077,prod_00201,computers_accessories,seller_0220,82.11,8.8
order_000077,prod_00333,watches_gifts,seller_0196,98.57,21.08
order_000078,prod_00190,health_beauty,seller_0235,171.32,29.73
order_000079,prod_00438,garden_tools,seller_0099,268.15,51.88
order_000080,prod_00513,electronics,seller_0358,135.52,25.28
order_000080,prod_00741,garden_tools,seller_0129,133.23,20.31
order_000081,prod_00410,cool_stuff,seller_0123,490.97,45.33
order_000082,prod_00300,telephony,seller_0041,459.85,61.35
order_000083,prod_00518,watches_gifts,seller_0193,60.42,11.23
order_000084,prod_00516,electronics,seller_0063,101.76,19.34
order_000085,prod_00670,telephony,seller_0338,128.37,9.11
order_000086,prod_01048,fashion_bags_accessories,seller_0160,33.0,7.0
order_000087,prod_00280,toys,seller_0189,45.9,7.0
order_000088,prod_00256,watches_gifts,seller_0291,82.89,16.89
order_000088,prod_00334,baby,seller_0333,156.0,13.37
order_000089,prod_00822,health_beauty,seller_0223,330.86,66.3
order_000089,prod_00001,telephony,seller_0259,221.56,23.4
order_000090,prod_01071,telephony,seller_0089,139.4,12.94
order_000091,prod_00607,perfumery,seller_0206,147.83,31.88
order_000091,prod_00243,stationery,seller_0366,117.45,11.83
order_000091,prod_01099,health_beauty,seller_0123,313.07,52.76
order_000092,prod_00819,perfumery,seller_0228,316.11,17.27
order_000093,prod_00969,furniture_decor,seller_0142,267.2,32.19
order_000094,prod_00827,fashion_bags_accessories,seller_0012,166.1,8.5
order_000094,prod_00029,stationery,seller_0027,52.45,13.09
order_000095,prod_00576,watches_gifts,seller_0153,33.19,7.0
order_000095,prod_00737,housewares,seller_0056,66.11,10.47
order_000095,prod_00786,electronics,seller_0107,141.83,17.41
order_000096,prod_00108,bed_bath_table,seller_0328,239.93,36.89
order_000096,prod_01159,sports_leisure,seller_0072,282.77,40.26
order_000097,prod_00526,sports_leisure,seller_0229,236.82,26.75
order_000098,prod_00912,telephony,seller_0150,492.36,72.33
order_000098,prod_00097,fashion_bags_accessories,seller_0099,136.56,19.14
order_000099,prod_00944,health_beauty,seller_0303,271.21,52.96
order_000100,prod_00317,sports_leisure,seller_0055,193.99,11.72
order_000101,prod_00787,sports_leisure,seller_0357,177.97,13.97
order_000101,prod_01067,electronics,seller_0337,126.58,19.58
order_000101,prod_00524,toys,seller_0029,29.06,7.0
order_000102,prod_00201,computers_accessories,seller_0015,74.47,7.0
order_000103,prod_00565,telephony,seller_0363,219.22,14.58
order_000104,prod_00531,computers_accessories,seller_0370,73.13,14.69
order_000105,prod_00043,housewares,seller_0050,65.65,11.17
order_000106,prod_01088,auto,seller_0344,91.44,7.0
order_000107,prod_01087,baby,seller_0045,59.58,7.9
order_000107,prod_00790,pet_shop,seller_0373,107.35,15.85
order_000107,prod_00886,sports_leisure,seller_0204,245.97,42.68
order_000108,prod_00782,health_beauty,seller_0054,470.0,81.82
order_000109,prod_00650,housewares,seller_0173,126.32,30.19
order_000110,prod_00193,sports_leisure,seller_0021,463.88,104.84
order_000111,prod_00867,pet_shop,seller_0031,101.66,16.64
order_000112,prod_00582,office_furniture,seller_0314,189.93,13.23
order_000113,prod_01020,bed_bath_table,seller_0308,94.69,15.44
order_000113,prod_00355,bed_bath_table,seller_0169,156.48,35.25
order_000113,prod_00294,stationery,seller_0075,168.49,38.22
order_000114,prod_00597,telephony,seller_0395,259.11,36.13
order_000114,prod_00885,health_beauty,seller_0296,410.69,25.9
order_000114,prod_00431,garden_tools,seller_0217,265.3,57.03
order_000115,prod_00055,furniture_decor,seller_0233,93.26,16.36
order_000116,prod_00662,computers_accessories,seller_0107,102.09,16.59
order_000117,prod_00987,housewares,seller_0360,145.79,13.22
order_000118,prod_01029,health_beauty,seller_0165,187.82,22.14
order_000119,prod_00565,telephony,seller_0292,238.33,59.34
order_000120,prod_01092,health_beauty,seller_0188,264.78,15.6
