order_id,customer_id,customer_state,order_status,order_purchase_timestamp,order_delivered_date,order_estimated_delivery_date,delivery_days,estimated_delivery_days,delivery_delta,review_score
order_000000,cust_003051,MG,delivered,2017-11-12 11:49:00,2017-11-15 11:49:00,2017-11-22 11:49:00,3.0,10,-7.0,5
order_000001,cust_004729,BA,delivered,2018-09-14 08:42:00,2018-09-28 08:42:00,2018-09-27 08:42:00,14.0,13,1.0,3
order_000002,cust_001699,SP,delivered,2017-03-11 03:41:00,2017-03-13 03:41:00,2017-03-21 03:41:00,2.0,10,-8.0,5
order_000003,cust_006668,MG,delivered,2018-01-28 00:33:00,2018-02-14 00:33:00,2018-02-07 00:33:00,17.0,10,7.0,3
order_000004,cust_009154,SP,delivered,2017-05-15 08:54:00,2017-05-25 08:54:00,2017-05-25 08:54:00,10.0,10,0.0,4
order_000005,cust_005832,GO,delivered,2018-06-09 17:15:00,2018-06-18 17:15:00,2018-06-22 17:15:00,9.0,13,-4.0,5
order_000006,cust_003784,SP,delivered,2018-06-05 22:45:00,2018-06-12 22:45:00,2018-06-15 22:45:00,7.0,10,-3.0,5
order_000007,cust_001844,TO,delivered,2017-01-30 03:25:00,2017-03-05 03:25:00,2017-02-18 03:25:00,34.0,19,15.0,2
order_000008,cust_006397,PA,delivered,2018-08-15 01:43:00,2018-08-31 01:43:00,2018-09-03 01:43:00,16.0,19,-3.0,5
order_000009,cust_003251,SP,delivered,2017-05-09 19:04:00,2017-05-10 19:04:00,2017-05-19 19:04:00,1.0,10,-9.0,4
order_000010,cust_005227,ES,delivered,2018-02-20 03:46:00,2018-02-27 03:46:00,2018-03-05 03:46:00,7.0,13,-6.0,4
order_000011,cust_000892,MG,delivered,2018-09-22 02:21:00,2018-10-06 02:21:00,2018-10-02 02:21:00,14.0,10,4.0,5
order_000012,cust_001167,SP,delivered,2018-07-30 16:07:00,2018-08-18 16:07:00,2018-08-09 16:07:00,19.0,10,9.0,3
order_000013,cust_003429,SP,delivered,2018-09-07 11:20:00,2018-09-19 11:20:00,2018-09-17 11:20:00,12.0,10,2.0,5
order_000014,cust_006745,CE,delivered,2017-09-18 07:57:00,2017-09-24 07:57:00,2017-10-07 07:57:00,6.0,19,-13.0,4
order_000015,cust_002621,SP,delivered,2017-01-17 19:51:00,2017-01-19 19:51:00,2017-01-27 19:51:00,2.0,10,-8.0,5
order_000016,cust_005883,SP,delivered,2017-05-02 04:20:00,2017-05-06 04:20:00,2017-05-12 04:20:00,4.0,10,-6.0,4
