order_id,payment_type,installments,payment_value
order_000000,credit_card,4,55.85
order_000001,boleto,1,373.32
order_000002,credit_card,6,93.45
order_000003,boleto,1,23.51
order_000004,credit_card,4,251.40000000000003
order_000005,credit_card,2,153.98
order_000006,credit_card,1,220.98000000000002
order_000007,credit_card,9,58.269999999999996
order_000008,credit_card,2,66.66
order_000009,credit_card,2,191.51999999999998
order_000010,credit_card,6,559.4200000000001
order_000011,credit_card,8,78.94999999999999
order_000012,boleto,1,64.53999999999999
order_000013,credit_card,2,468.0
order_000014,credit_card,1,159.45000000000002
order_000015,credit_card,1,286.27
order_000016,credit_card,3,389.88
order_000017,boleto,1,40.35
order_000018,credit_card,4,255.29999999999998
order_000019,voucher,1,108.71
order_000020,voucher,1,483.02
order_000021,credit_card,3,268.85
order_000022,credit_card,5,187.64
order_000023,credit_card,4,118.02
order_000024,credit_card,5,355.92
order_000025,credit_card,3,258.54
order_000026,credit_card,3,208.16000000000003
order_000027,credit_card,4,318.6
order_000028,credit_card,4,64.67
order_000029,credit_card,10,666.07
order_000030,credit_card,1,224.96999999999997
order_000031,credit_card,2,79.34
order_000032,credit_card,4,335.38
order_000033,credit_card,1,336.23
order_000034,boleto,1,121.35
order_000035,credit_card,10,92.2
order_000036,credit_card,1,61.83
order_000037,boleto,1,49.28
order_000038,credit_card,2,498.0
order_000039,credit_card,1,192.98000000000002
order_000040,credit_card,1,211.28
order_000041,credit_card,2,202.54
order_000042,credit_card,2,545.85
order_000043,credit_card,9,592.6099999999999
order_000044,boleto,1,47.3
order_000045,credit_card,3,122.39999999999999
order_000046,credit_card,1,219.8
order_000047,credit_card,6,777.4
order_000048,credit_card,1,304.13
order_000049,credit_card,1,94.41
order_000050,credit_card,4,202.81
order_000051,boleto,1,302.67
order_000052,credit_card,4,53.72
order_000053,credit_card,7,386.35
order_000054,credit_card,1,330.85
order_000055,credit_card,10,51.48
order_000056,credit_card,5,244.32
order_000057,credit_card,2,515.07
order_000058,credit_card,1,407.86
order_000059,credit_card,5,375.56
order_000060,boleto,1,110.86000000000001
order_000061,credit_card,2,630.55
order_000062,credit_card,3,518.16
order_000063,credit_card,1,293.59999999999997
order_000064,boleto,1,305.59999999999997
order_000065,credit_card,1,299.15
order_000066,credit_card,7,98.92999999999999
order_000067,voucher,1,295.71999999999997
order_000068,credit_card,2,295.62999999999994
order_000069,credit_card,1,200.49
order_000070,credit_card,4,69.23
order_000071,boleto,1,163.55
order_000072,credit_card,3,292.27000000000004
order_000073,boleto,1,297.23
order_000074,credit_card,3,871.6899999999999
order_000075,voucher,1,260.58
order_000076,credit_card,1,265.44
order_000077,boleto,1,210.56
order_000078,credit_card,3,201.04999999999998
order_000079,credit_card,1,320.03
order_000080,credit_card,1,314.34000000000003
order_000081,credit_card,1,536.3000000000001
order_000082,credit_card,10,521.2
order_000083,credit_card,3,71.65
order_000084,credit_card,1,121.10000000000001
order_000085,credit_card,2,137.48000000000002
order_000086,credit_card,1,40.0
order_000087,debit_card,1,52.9
order_000088,boleto,1,269.15
order_000089,boleto,1,642.1200000000001
order_000090,credit_card,4,152.34
order_000091,credit_card,1,674.82
order_000092,voucher,1,333.38
order_000093,boleto,1,299.39
order_000094,credit_card,8,240.14000000000001
order_000095,boleto,1,276.01
order_000096,boleto,1,599.85
order_000097,credit_card,3,263.57
order_000098,credit_card,5,720.3900000000001
order_000099,boleto,1,324.16999999999996
order_000100,credit_card,3,205.71
order_000101,debit_card,1,374.16
order_000102,debit_card,1,81.47
order_000103,credit_card,1,233.8
order_000104,boleto,1,87.82
order_000105,credit_card,5,76.82000000000001
order_000106,credit_card,8,98.44
order_000107,credit_card,6,479.33
order_000108,credit_card,5,551.8199999999999
order_000109,credit_card,2,156.51
order_000110,boleto,1,568.72
order_000111,boleto,1,118.3
order_000112,credit_card,1,203.16
order_000113,boleto,1,508.56999999999994
order_000114,credit_card,2,1054.16
order_000115,credit_card,2,109.62
order_000116,credit_card,2,118.68
order_000117,boleto,1,159.01
order_000118,credit_card,5,209.95999999999998
order_000119,credit_card,1,297.67
order_000120,boleto,1,280.38
order_000121,credit_card,5,506.65
order_000122,boleto,1,479.39
order_000123,credit_card,2,384.45
order_000124,boleto,1,339.65000000000003
order_000125,credit_card,5,114.19
order_000126,credit_card,10,494.82000000000005
order_000127,credit_card,3,52.44
order_000128,credit_card,4,78.51
order_000129,credit_card,10,131.12
order_000130,credit_card,3,96.14000000000001
order_000131,credit_card,1,80.72
order_000132,credit_card,4,312.01
order_000133,credit_card,1,276.65
order_000134,credit_card,4,332.08
order_000135,credit_card,4,154.65
order_000136,credit_card,3,290.09
order_000137,credit_card,7,147.7
order_000138,credit_card,5,125.49000000000001
order_000139,credit_card,7,254.29000000000002
order_000140,credit_card,4,649.84
order_000141,credit_card,3,69.42999999999999
order_000142,credit_card,1,167.94
order_000143,credit_card,2,153.32000000000002
order_000144,boleto,1,237.98
order_000145,credit_card,2,416.11
order_000146,credit_card,3,68.47
order_000147,boleto,1,62.42
order_000148,boleto,1,225.92000000000002
order_000149,boleto,1,178.78
order_000150,credit_card,1,135.87
order_000151,boleto,1,164.20000000000002
order_000152,credit_card,1,318.6
order_000153,boleto,1,209.46
order_000154,boleto,1,309.71
order_000155,credit_card,1,470.89
order_000156,credit_card,5,320.36
order_000157,credit_card,2,269.28
order_000158,boleto,1,74.57
order_000159,boleto,1,45.65
order_000160,credit_card,2,186.57
order_000161,credit_card,1,513.59
order_000162,boleto,1,405.04
order_000163,credit_card,2,225.69
order_000164,credit_card,7,278.36
order_000165,boleto,1,169.8
order_000166,boleto,1,240.68
order_000167,boleto,1,348.17999999999995
order_000168,credit_card,3,144.21
order_000169,boleto,1,726.4
order_000170,boleto,1,369.43
order_000171,credit_card,2,412.94
order_000172,credit_card,5,794.53
order_000173,boleto,1,904.74
order_000174,credit_card,1,53.69
order_000175,credit_card,2,149.27
order_000176,credit_card,2,614.8100000000001
order_000177,credit_card,1,558.35
order_000178,boleto,1,232.48000000000002
order_000179,credit_card,1,231.49
order_000180,credit_card,2,383.57
order_000181,credit_card,2,268.94
order_000182,debit_card,1,794.94
order_000183,credit_card,1,61.79
order_000184,boleto,1,157.58
order_000185,credit_card,1,618.65
order_000186,credit_card,2,132.36
order_000187,credit_card,7,76.13
order_000188,boleto,1,291.86
order_000189,credit_card,1,440.94
order_000190,boleto,1,306.52
order_000191,boleto,1,431.14
order_000192,boleto,1,112.65
order_000193,credit_card,6,585.5
order_000194,credit_card,3,469.23
order_000195,credit_card,5,280.96999999999997
order_000196,credit_card,1,353.49
order_000197,credit_card,4,155.51
order_000198,credit_card,1,497.43
order_000199,credit_card,1,314.04
order_000200,credit_card,2,609.6600000000001
order_000201,credit_card,5,336.34
order_000202,credit_card,4,50.04
order_000203,boleto,1,406.22999999999996
order_000204,credit_card,3,167.8
order_000205,credit_card,1,138.86
order_000206,credit_card,7,204.89000000000001
order_000207,credit_card,8,182.53
order_000208,credit_card,5,52.14
order_000209,credit_card,1,155.39
order_000210,credit_card,3,139.01
order_000211,credit_card,1,301.38
order_000212,boleto,1,64.89999999999999
order_000213,credit_card,7,206.72
order_000214,credit_card,1,403.0
order_000215,credit_card,7,272.8
order_000216,boleto,1,151.72
order_000217,credit_card,6,301.77
order_000218,credit_card,1,400.56
order_000219,boleto,1,339.13
order_000220,credit_card,5,186.52
order_000221,boleto,1,409.24
order_000222,boleto,1,334.40999999999997
order_000223,credit_card,10,378.83
order_000224,credit_card,3,49.23
order_000225,credit_card,4,111.25
order_000226,boleto,1,112.93
order_000227,credit_card,8,149.62
order_000228,credit_card,2,163.22
order_000229,boleto,1,171.13
order_000230,credit_card,2,80.36
order_000231,credit_card,2,276.33
order_000232,credit_card,5,121.93
order_000233,credit_card,2,260.27
order_000234,boleto,1,134.29
order_000235,boleto,1,198.57
order_000236,credit_card,1,431.11
order_000237,credit_card,3,43.65
order_000238,boleto,1,301.35
order_000239,voucher,1,1305.06
order_000240,credit_card,1,109.43
order_000241,credit_card,3,104.37
order_000242,boleto,1,745.64
