order_id,review_score
order_000000,5
order_000001,3
order_000002,5
order_000003,3
order_000004,4
order_000005,5
order_000006,5
order_000007,2
order_000008,5
order_000009,4
order_000010,4
order_000011,5
order_000012,3
order_000013,5
order_000014,4
order_000015,5
order_000016,4
order_000017,4
order_000018,4
order_000019,4
order_000020,2
order_000021,3
order_000022,4
order_000023,3
order_000024,5
order_000025,5
order_000026,4
order_000027,4
order_000028,4
order_000029,3
order_000030,4
order_000031,3
order_000032,2
order_000033,5
order_000034,5
order_000035,5
order_000036,1
order_000037,3
order_000038,5
order_000039,5
order_000040,5
order_000041,2
order_000042,4
order_000043,4
order_000044,3
order_000045,5
order_000046,4
order_000047,5
order_000048,5
order_000049,5
order_000050,4
order_000051,5
order_000052,4
order_000053,4
order_000054,5
order_000055,5
order_000056,5
order_000057,5
order_000058,4
order_000059,4
order_000060,5
order_000061,5
order_000062,3
order_000063,5
order_000064,5
order_000065,5
order_000066,4
order_000067,4
order_000068,3
order_000069,5
order_000070,5
order_000071,3
order_000072,4
order_000073,5
order_000074,4
order_000075,5
order_000076,4
order_000077,4
order_000078,5
order_000079,5
order_000080,5
order_000081,5
order_000082,3
order_000083,4
order_000084,3
order_000085,5
order_000086,5
order_000087,3
order_000088,5
order_000089,3
order_000090,1
order_000091,4
order_000092,5
order_000093,4
order_000094,4
order_000095,5
order_000096,4
order_000097,4
order_000098,4
order_000099,1
order_000100,5
order_000101,4
order_000102,3
order_000103,4
order_000104,2
order_000105,4
order_000106,5
order_000107,5
order_000108,5
order_000109,4
order_000110,4
order_000111,4
order_000112,5
order_000113,4
order_000114,5
order_000115,5
order_000116,5
order_000117,5
order_000118,5
order_000119,2
order_000120,4
order_000121,5
order_000122,5
order_000123,4
order_000124,5
order_000125,4
order_000126,4
order_000127,4
order_000128,5
order_000129,4
order_000130,4
order_000131,4
order_000132,4
order_000133,4
order_000134,5
order_000135,5
order_000136,3
order_000137,3
order_000138,2
order_000139,5
order_000140,5
order_000141,4
order_000142,5
order_000143,5
order_000144,4
order_000145,5
order_000146,5
order_000147,5
order_000148,2
order_000149,4
order_000150,5
order_000151,5
order_000152,4
order_000153,3
order_000154,5
order_000155,4
order_000156,5
order_000157,5
order_000158,5
order_000159,5
order_000160,3
order_000161,5
order_000162,5
order_000163,4
order_000164,4
order_000165,3
order_000166,4
order_000167,5
order_000168,4
order_000169,5
order_000170,3
order_000171,5
order_000172,5
order_000173,4
order_000174,4
order_000175,5
order_000176,3
order_000177,5
order_000178,5
order_000179,4
order_000180,4
order_000181,2
order_000182,5
order_000183,5
order_000184,1
order_000185,5
order_000186,4
order_000187,5
order_000188,5
order_000189,5
order_000190,4
order_000191,5
order_000192,4
order_000193,5
order_000194,4
order_000195,5
order_000196,1
order_000197,3
order_000198,5
order_000199,4
order_000200,5
order_000201,4
order_000202,4
order_000203,5
order_000204,5
order_000205,4
order_000206,5
order_000207,4
order_000208,4
order_000209,3
order_000210,5
order_000211,5
order_000212,5
order_000213,4
order_000214,5
order_000215,4
order_000216,5
order_000217,4
order_000218,5
order_000219,3
order_000220,4
order_000221,3
order_000222,5
order_000223,3
order_000224,5
order_000225,4
order_000226,5
order_000227,4
order_000228,4
order_000229,4
order_000230,5
order_000231,4
order_000232,5
order_000233,5
order_000234,3
order_000235,5
order_000236,4
order_000237,3
order_000238,5
order_000239,1
order_000240,4
order_000241,5
order_000242,5
order_000243,5
order_000244,4
order_000245,5
order_000246,4
order_000247,3
order_000248,4
order_000249,4
order_000250,5
order_000251,4
order_000252,3
order_000253,4
order_000254,4
order_000255,5
order_000256,4
order_000257,5
order_000258,5
order_000259,3
order_000260,4
order_000261,2
order_000262,4
order_000263,4
order_000264,5
order_000265,2
order_000266,4
order_000267,4
order_000268,5
order_000269,5
order_000270,3
order_000271,3
order_000272,4
order_000273,4
order_000274,5
order_000275,4
order_000276,4
order_000277,3
order_000278,2
order_000279,4
order_000280,4
order_000281,3
order_000282,4
order_000283,5
order_000284,5
order_000285,4
order_000286,5
order_000287,5
order_000288,5
order_000289,2
order_000290,4
order_000291,4
order_000292,3
order_000293,4
order_000294,5
order_000295,5
order_000296,1
order_000297,4
order_000298,3
order_000299,4
order_000300,4
order_000301,4
order_000302,4
order_000303,3
order_000304,5
order_000305,5
order_000306,4
order_000307,3
order_000308,5
order_000309,4
order_000310,3
order_000311,5
order_000312,5
order_000313,5
order_000314,4
order_000315,3
order_000316,4
order_000317,4
order_000318,5
order_000319,5
order_000320,4
order_000321,4
order_000322,5
order_000323,4
order_000324,5
order_000325,4
order_000326,4
order_000327,5
order_000328,5
order_000329,4
order_000330,5
order_000331,4
order_000332,3
order_000333,3
order_000334,5
order_000335,4
order_000336,4
order_000337,3
order_000338,5
order_000339,5
order_000340,5
order_000341,4
order_000342,4
order_000343,5
order_000344,3
order_000345,4
order_000346,4
order_000347,5
order_000348,3
order_000349,4
order_000350,2
order_000351,2
order_000352,5
order_000353,4
order_000354,4
order_000355,3
order_000356,4
order_000357,2
order_000358,4
order_000359,2
order_000360,5
order_000361,5
order_000362,4
order_000363,4
order_000364,5
order_000365,4
order_000366,4
order_000367,5
order_000368,5
order_000369,5
order_000370,2
order_000371,4
order_000372,4
order_000373,4
order_000374,5
order_000375,3
order_000376,5
order_000377,4
order_000378,3
order_000379,5
order_000380,4
order_000381,5
order_000382,4
order_000383,2
order_000384,3
order_000385,4
order_000386,5
order_000387,5
order_000388,4
order_000389,4
order_000390,4
order_000391,4
order_000392,1
order_000393,4
order_000394,2
order_000395,5
order_000396,4
order_000397,3
order_000398,5
order_000399,5
order_000400,4
order_000401,4
order_000402,5
order_000403,4
order_000404,4
order_000405,3
order_000406,4
order_000407,2
order_000408,3
order_000409,4
order_000410,3
order_000411,5
order_000412,4
order_000413,5
order_000414,4
order_000415,4
order_000416,5
order_000417,4
order_000418,5
order_000419,3
order_000420,4
order_000421,4
order_000422,5
order_000423,5
order_000424,3
order_000425,4
order_000426,5
order_000427,5
order_000428,5
order_000429,5
order_000430,5
order_000431,3
order_000432,4
order_000433,4
order_000434,5
order_000435,4
order_000436,4
order_000437,2
order_000438,5
order_000439,5
order_000440,5
order_000441,4
order_000442,4
order_000443,3
